Ground,Team A,Team B,Six by A,Six by B,Result
Ahmedabad,GT,CSK,1,0,GT
Mullanpur,PBKS,KKR,1,1,PBKS
Lucknow,LSG,DC,0,0,LSG
Hyderabad,SRH,RR,0,0,RR
Bengalauru,RCB,MI,0,0,RCB
Chennai,CSK,LSG,0,1,CSK
Delhi,DC,GT,0,1,GT
Guwahati,PBKS,RR,1,1,PBKS
Kolkata,KKR,RCB,0,0,KKR
Lucknow,LSG,SRH,0,1,LSG
Guwahati,RR,DC,0,0,RR
Mumbai,MI,CSK,0,0,CSK
Ahmedabad,GT,KKR,0,1,KKR
Hyderabad,SRH,PBKS,0,0,SRH
Bengalauru,RCB,LSG,1,0,LSG
Delhi,DC,MI,0,1,MI
Chennai,CSK,RR,0,0,RR
Mullanpur,PBKS,GT,0,0,GT
Kolkata,KKR,SRH,0,0,SRH
Bengalauru,RCB,DC,0,0,RCB
Lucknow,LSG,PBKS,0,0,PBKS
Mumbai,MI,KKR,1,0,MI
Ahmedabad,GT,RR,0,0,RR
Bengalauru,RCB,CSK,0,1,CSK
Hyderabad,SRH,MI,0,1,MI
Jaipur,RR,LSG,1,0,LSG
Mullanpur,PBKS,RCB,1,0,RCB
Delhi,DC,KKR,0,0,DC
Chennai,CSK,SRH,0,0,CSK
Lucknow,LSG,GT,0,0,GT
Mumbai,MI,PBKS,0,0,PBKS
Bengalauru,RCB,RR,0,0,RCB
Kolkata,KKR,CSK,1,1,CSK
Hyderabad,SRH,DC,0,0,DC
Ahmedabad,GT,MI,0,0,GT
Bengalauru,RCB,KKR,1,0,KKR
Jaipur,RR,CSK,0,0,RR
Mullanpur,PBKS,LSG,0,0,LSG
Kolkata,KKR,GT,0,0,GT
Delhi,DC,SRH,0,0,SRH
Chennai,CSK,PBKS,0,1,PBKS
Mumbai,MI,RR,0,1,MI
Lucknow,LSG,RCB,0,0,RCB
Ahmedabad,GT,DC,0,0,DC
Lucknow,LSG,CSK,0,0,CSK
Mullanpur,PBKS,MI,0,0,MI
Hyderabad,SRH,KKR,0,0,KKR
Jaipur,RR,GT,0,0,GT
Chennai,CSK,MI,0,0,CSK
Delhi,DC,RCB,0,0,DC
Ahmedabad,GT,LSG,1,0,GT
Jaipur,RR,SRH,1,1,SRH
Kolkata,KKR,PBKS,0,0,KKR
MUmbai,RCB,MI,0,0,MI
Chennai,CSK,DC,0,0,CSK
Kolkata,KKR,RR,0,1,RR
Mumbai,MI,GT,1,0,MI
Hyderabad,SRH,LSG,0,0,LSG
Delhi,DC,PBKS,0,1,PBKS
Jaipur,RR,RCB,0,0,RCB
Chennai,CSK,KKR,0,0,KKR
Ahmedabad,GT,SRH,0,0,GT
Lucknow,LSG,MI,1,1,LSG
Dharamshala,PBKS,DC,0,0,DC
Hyderabad,SRH,RCB,0,0,RCB
Dharamshala,PBKS,RR,1,0,RR
Delhi,DC,CSK,0,1,CSK
Kolkata,KKR,LSG,1,0,LSG
Mumbai,MI,SRH,1,0,MI
Bengalauru,RCB,GT,0,0,GT
Chennai,CSK,GT,1,0,CSK
Chennai,MI,LSG,0,0,MI
Ahmedabad,GT,MI,0,0,GT
Ahmedabad,GT,CSK,0,1,CSK
Chennai,CSK,RCB,0,0,CSK
Mullanpur,PBKS,DC,0,1,PBKS
Kolkata,KKR,SRH,1,0,KKR
Jaipur,RR,LSG,0,0,RR
Ahmedabad,GT,MI,0,0,GT
Bengalauru,RCB,PBKS,0,0,RCB
Chennai,CSK,GT,1,1,CSK
Hyderabad,SRH,MI,0,1,SRH
Jaipur,RR,DC,0,0,RR
Bengalauru,RCB,KKR,1,1,KKR
Lucknow,LSG,PBKS,0,0,LSG
Ahmedabad,GT,SRH,1,0,GT
Visakhapatnam,DC,CSK,0,0,DC
Mumbai,MI,RR,1,0,RR
Bengalauru,RCB,LSG,0,0,LSG
Visakhapatnam,DC,KKR,0,0,KKR
Ahmedabad,GT,PBKS,1,0,PBKS
Hyderabad,SRH,CSK,1,0,SRH
Jaipur,RR,RCB,0,0,RR
Mumbai,MI,DC,0,1,MI
Lucknow,LSG,GT,1,0,LSG
Chennai,CSK,KKR,0,0,CSK
Mullanpur,PBKS,SRH,0,0,SRH
Jaipur,RR,GT,0,1,GT
Mumbai,MI,RCB,1,1,MI
Lucknow,LSG,DC,0,0,DC
Mullanpur,PBKS,RR,0,0,RR
Kolkata,KKR,LSG,1,1,KKR
Mumbai,MI,CSK,0,0,CSK
Bengalauru,RCB,SRH,1,1,SRH
Kolkata,KKR,RR,0,1,RR
Ahmedabad,GT,DC,0,1,DC
Mullanpur,PBKS,MI,0,0,MI
Lucknow,LSG,CSK,0,0,LSG
Delhi,DC,SRH,0,1,SRH
Kolkata,KKR,RCB,1,1,KKR
Mullanpur,PBKS,GT,1,0,GT
Jaipur,RR,MI,0,0,RR
Chennai,CSK,LSG,0,1,LSG
Delhi,DC,GT,1,1,DC
Hyderabad,SRH,RCB,0,0,RCB
Kolkata,KKR,PBKS,1,1,PBKS
Delhi,DC,MI,1,0,DC
Lucknow,LSG,RR,0,1,RR
Ahmedabad,GT,RCB,0,1,RCB
Chennai,CSK,SRH,0,1,CSK
Kolkata,KKR,DC,1,0,KKR
Lucknow,LSG,MI,0,0,LSG
Chennai,CSK,PBKS,0,1,PBKS
Hyderabad,SRH,RR,1,0,SRH
Mumbai,MI,KKR,1,1,KKR
Bengalauru,RCB,GT,1,0,RCB
Dharamshala,PBKS,CSK,0,0,CSK
Lucknow,LSG,KKR,0,1,KKR
Mumbai,MI,SRH,0,1,MI
Delhi,DC,RR,0,0,DC
Hyderabad,SRH,LSG,0,1,SRH
Dharamshala,PBKS,RCB,0,0,RCB
Ahmedabad,GT,CSK,1,0,GT
Kolkata,KKR,MI,1,0,KKR
Chennai,CSK,RR,1,0,CSK
Bengalauru,RCB,DC,1,1,RCB
Delhi,DC,LSG,1,0,DC
Guwahati,RR,PBKS,0,0,PBKS
Mumbai,MI,LSG,1,0,LSG
Bengalauru,RCB,CSK,1,0,RCB
Hyderabad,SRH,PBKS,1,0,SRH
Ahmedabad,SRH,KKR,0,1,KKR
Ahmedabad,RCB,RR,1,0,RR
Chennai,SRH,RR,1,1,SRH
Chennai,SRH,KKR,0,1,KKR
Kolkata,KKR,RCB,0,0,RCB
Hyderabad,SRH,RR,1,1,SRH
Chennai,CSK,MI,0,0,CSK
Visakhapatnam,DC,LSG,0,1,DC
Ahmedabad,GT,PBKS,1,0,PBKS
Guwahati,RR,KKR,0,0,KKR
Hyderabad,SRH,LSG,0,0,LSG
Chennai,CSK,RCB,0,1,RCB
Ahmedabad,GT,MI,0,1,GT
Visakhapatnam,DC,SRH,1,0,DC
Guwahati,RR,CSK,1,0,RR
Mumbai,MI,KKR,1,0,MI
Lucknow,LSG,PBKS,0,1,PBKS
Bengalauru,RCB,GT,0,0,GT
Kolkata,KKR,SRH,1,0,KKR
Lucknow,LSG,MI,0,0,LSG
Chennai,CSK,DC,0,1,DC
Mullanpur,PBKS,RR,0,0,RR
Hyderabad,SRH,GT,0,0,GT
Mumbai,MI,RCB,1,0,RCB
Kolkata,KKR,LSG,1,1,LSG
Mullanpur,PBKS,CSK,1,0,PBKS
Ahmedabad,GT,RR,0,0,GT
Bengalauru,RCB,DC,1,0,DC
Chennai,CSK,KKR,0,1,KKR
